date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:59	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Oct%202020%2001:03:58%20GMT	https://www.valleyviewschools.net/robots.txt		(from )
20:03:59	82629/82629	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Oct%202020%2001:03:58%20GMT	https://www.valleyviewschools.net/	/Users/larsoncarter/Desktop/www.valleyviewschools.net/index.html	(from )
20:03:59	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2030%20Oct%202020%2001:03:59%20GMT	https://www.valleyviewschools.net/xmlrpc.php	/Users/larsoncarter/Desktop/www.valleyviewschools.net/xmlrpc.php	(from https://www.valleyviewschools.net/)
20:04:00	2302/2302	---M--	200	added ('OK')	text/css	etag:%22596cb35c-8fe%22	https://www.valleyviewschools.net/wp-content/plugins/jb-horizontal-scroller-news-ticker/css/jb-breaking-news.css?ver=5.3	/Users/larsoncarter/Desktop/www.valleyviewschools.net/wp-content/plugins/jb-horizontal-scroller-news-ticker/css/jb-breaking-newsde54.css	(from https://www.valleyviewschools.net/)
20:04:01	2320/2320	---MC-	200	added ('OK')	application/rss+xml	etag:%2230419bb6f81d984a5e8415a670a63756%22	https://www.valleyviewschools.net/feed/	/Users/larsoncarter/Desktop/www.valleyviewschools.net/feed/index.html	(from https://www.valleyviewschools.net/)
20:04:01	9545/9545	---MC-	200	added ('OK')	application/rss+xml	etag:%222791de30be22c82d9f324212df6edd37%22	https://www.valleyviewschools.net/comments/feed/	/Users/larsoncarter/Desktop/www.valleyviewschools.net/comments/feed/index.html	(from https://www.valleyviewschools.net/)
20:04:02	41467/41467	---MCZ	200	added ('OK')	text/css	etag:W/%225df29613-a1fb%22	https://www.valleyviewschools.net/wp-includes/css/dist/block-library/style.min.css?ver=5.3	/Users/larsoncarter/Desktop/www.valleyviewschools.net/wp-includes/css/dist/block-library/style.minde54.css	(from https://www.valleyviewschools.net/)
20:04:02	1645/1645	---M--	200	added ('OK')	text/css	etag:%225df2962b-66d%22	https://www.valleyviewschools.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	/Users/larsoncarter/Desktop/www.valleyviewschools.net/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://www.valleyviewschools.net/)
20:04:04	16043/16043	---MCZ	200	added ('OK')	text/css	etag:W/%225df2962e-3eab%22	https://www.valleyviewschools.net/wp-content/plugins/custom-facebook-feed/css/cff-style.css?ver=2.12.2	/Users/larsoncarter/Desktop/www.valleyviewschools.net/wp-content/plugins/custom-facebook-feed/css/cff-style4acc.css	(from https://www.valleyviewschools.net/)
20:04:04	791/791	---M--	200	added ('OK')	text/css	etag:%225c39f838-317%22	https://www.valleyviewschools.net/wp-content/plugins/horizontal-scrolling-announcement/css/hsa_front.css?ver=5.3	/Users/larsoncarter/Desktop/www.valleyviewschools.net/wp-content/plugins/horizontal-scrolling-announcement/css/hsa_frontde54.css	(from https://www.valleyviewschools.net/)
